Sample_ID,Date,Treatment,Plant,Repetition_measurment,Sampling_order_within_day,CH5O+,C3H5O+,C5H7+,C5H9+,C5H11+,C6H9+,C6H11+,C6H13+,C7H9+,C7H11+,C6H11O+,C6H13O+,C6H15O+,C7H7O+,C8H13+,C8H8N+,C10H15+,C10H17+,C8H15O2+,C8H17O2+,C11H17+,C9H11O2+,C11H19+,C8H10NO2+,C10H12O2+,C12H21O2+,C15H25+,C16H27+
Background 1,6/25/2020,background,#N/A,1,1,5.6002569,64.750084,26.312571,12.972513,8.9677477,116.66805,10.327821,2.6390357,17.361704,27.212729,17.783375,0.2317518,0.31059197,15.550482,16.558588,2.4272506,11.537366,50.255627,4.9692974,0.72321379,2.604594,2.176327,2.2504289,9.8322983,1.490258,0,0.57159936,0.37481344
Background 1,6/25/2020,background,#N/A,1,1,1.3962933,79.481499,26.21183,12.263971,4.8018413,108.58508,15.982237,0.98967546,14.737535,26.784342,12.500158,1.5917854,1.2529876,0,12.895059,3.4889543,10.701995,59.26358884,3.4617531,0.13450119,2.2194731,2.211432,1.3794823,14.333494,0.33285156,0.0326581,1.503077,1.012924
Background 1,6/25/2020,background,#N/A,1,1,4.4648376,78.363976,19.21335,21.959251,7.4321918,112.4716,15.283144,1.956903,12.82646,27.990459,17.136469,0.87812537,1.060791,14.158007,17.178116,5.6622739,12.007025,51.98406974,2.2503648,1.7661718,0.44954401,4.9954734,1.0965716,5.8338795,0.95276242,0,1.0150637,0.93487543
Background 1,6/25/2020,background,#N/A,1,1,2.7124734,72.708214,32.172215,25.258913,8.852129,138.54251,5.3703508,0.82819015,14.353092,21.037069,17.205185,3.5650661,0.99261779,10.037721,28.606411,3.7596786,11.274867,45.00705293,3.6505547,0.071765475,3.1048884,3.6704824,1.8690854,4.6688085,2.5027304,0,3.1399317,1.2652246
Background 1,6/25/2020,background,#N/A,1,1,5.5987053,87.536682,27.897442,41.187069,7.6332235,90.331108,18.40205,2.2883387,39.050323,26.962017,15.508245,3.8935633,0.46150088,9.5733976,42.395046,5.0804291,13.259696,55.52886801,4.0866299,1.5116984,4.7609124,4.1295619,1.802011,1.6790094,2.6138806,0.38065094,1.639504,0.53628665
Background 1,6/25/2020,background,#N/A,1,1,2.3498998,80.07634,19.108561,44.968113,12.604045,114.63377,20.295734,2.9184568,36.501961,25.808882,19.000294,6.547482,0.52119893,7.0159259,40.869984,5.14855,11.80486,50.39200891,4.2334046,1.3699991,4.3310795,3.7597823,0.70683974,5.227232,0.39798275,0.30763534,2.483437022,1.5487885
Background 1,6/25/2020,background,#N/A,1,1,2.7144175,86.735191,26.665234,62.237789,10.832814,115.20199,19.939598,2.7836125,42.902359,29.308975,18.885695,3.9076889,0.86042356,13.760869,33.412415,2.065412,10.580325,50.3623917,7.9696832,1.9747843,5.9391599,6.0853753,1.4577205,5.3635941,1.1592102,0.50008065,0.72059648,0.9359073
Background 1,6/25/2020,background,#N/A,1,1,5.224905,150.58788,48.760136,158.22823,15.221816,223.33791,82.019447,4.2535558,127.02045,36.625568,32.47813,8.1121359,2.4575543,50.825897,85.630249,7.2792153,8.8113432,49.83403356,4.4620714,5.5741382,2.0018356,3.8488324,1.4357111,9.8987064,6.3207207,0,2.2418945,1.9738736
Background 1,6/25/2020,background,#N/A,1,1,4.7279425,199.06958,97.941719,285.59485,22.700041,317.82037,191.81203,7.8498502,206.96114,50.705956,66.364456,17.780012,0.11973667,60.883331,216.79425,9.6890306,12.140843,45.9732227,19.154659,5.9165692,3.7767124,6.0066743,3.8738685,2.9569743,5.2291446,0.38533705,1.59998093,0.62622988
Background 1,6/25/2020,background,#N/A,1,1,1.6289861,203.8096,118.38438,382.8063,27.452139,304.81085,264.46176,13.804232,204.01025,72.771538,58.649822,22.499935,0.13164824,43.224293,224.18831,5.4776568,18.928267,49.7836876,29.753138,9.0931139,5.5728559,4.8688645,3.0157344,8.9407082,3.9472654,1.4278727,5.19434854,0.65682298
Background 1,6/25/2020,background,#N/A,1,1,5.5492983,209.27235,137.03918,412.43622,37.005066,307.26022,358.20819,11.40377,243.28061,68.135178,51.460754,18.249723,0.013084437,73.985352,288.40616,11.865416,18.709869,70.7152715,28.535589,10.283225,2.1027262,5.5481887,3.3628056,6.9978738,5.8945751,1.8726226,2.207898658,0.050638422
Background 1,6/25/2020,background,#N/A,1,1,5.0412421,231.30701,98.876205,351.12698,32.581524,389.6524,232.29799,10.600139,240.76024,66.326813,67.381477,14.251086,3.6908545,64.327858,229.61835,8.9601364,14.347698,52.6983317,35.641861,6.4355927,2.5439398,3.9734418,2.02718,8.0992765,5.3747463,3.1095958,3.69204862,1.8041731
Background 1,6/25/2020,background,#N/A,1,1,4.157465,202.51888,79.168015,296.83374,35.408985,328.25647,209.72604,7.0075278,243.02454,66.295021,64.95256,14.201514,3.6540325,72.446136,187.36024,6.0235891,18.913252,67.8236197,27.176371,6.4744763,7.8843865,2.4214814,2.5493729,12.325181,6.4010592,4.0840263,5.9377608,0.52919132
Background 1,6/25/2020,background,#N/A,1,1,3.5717018,211.66615,98.596886,341.16913,47.142593,277.87128,199.3831,11.40866,284.59012,88.266579,47.363934,18.412321,0.45551339,66.538345,190.72,10.939006,20.318439,67.9595866,22.310137,11.343711,9.9807777,8.3319807,6.832005,9.8481598,8.1830454,0.85200471,7.51383551,2.0560775
